outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population
case,Apr-21,202114,12-17,all_types,8,"36,887","30,785","17,556,467"
case,Apr-21,202114,18-29,all_types,671,"2,543,093","76,736","31,091,337"
case,Apr-21,202114,30-49,all_types,"1,837","7,428,405","98,436","41,074,367"
case,Apr-21,202114,50-64,all_types,"1,547","7,487,444","50,324","22,948,579"
case,Apr-21,202114,65-79,all_types,"1,655","14,398,099","14,880","7,675,922"
case,Apr-21,202114,80+,all_types,792,"4,962,963","3,757","2,524,586"
case,Apr-21,202114,all_ages_adj,all_types,"6,510","36,856,891","274,918","122,871,258"
case,Apr-21,202114,all_ages_adj,Janssen,"1,151","2,256,251","274,918","122,871,258"
case,Apr-21,202114,all_ages_adj,Moderna,"1,788","16,202,440","274,918","122,871,258"
case,Apr-21,202114,all_ages_adj,Pfizer,"3,544","18,346,519","274,918","122,871,258"
case,Apr-21,202115,12-17,all_types,5,"54,519","30,598","17,294,956"
case,Apr-21,202115,18-29,all_types,744,"3,160,878","70,484","29,190,562"
case,Apr-21,202115,30-49,all_types,"2,101","9,097,349","91,823","37,970,089"
case,Apr-21,202115,50-64,all_types,"1,900","9,628,898","45,460","20,820,578"
case,Apr-21,202115,65-79,all_types,"1,962","16,557,222","14,128","7,029,204"
case,Apr-21,202115,80+,all_types,931,"5,410,448","3,425","2,383,421"
case,Apr-21,202115,all_ages_adj,all_types,"7,643","43,909,314","255,918","114,688,810"
case,Apr-21,202115,all_ages_adj,Janssen,"1,458","2,943,653","255,918","114,688,810"
case,Apr-21,202115,all_ages_adj,Moderna,"2,054","19,010,273","255,918","114,688,810"
case,Apr-21,202115,all_ages_adj,Pfizer,"4,113","21,899,432","255,918","114,688,810"
case,Apr-21,202116,12-17,all_types,8,"84,855","26,222","17,014,486"
case,Apr-21,202116,18-29,all_types,891,"4,115,213","54,626","27,645,098"
case,Apr-21,202116,30-49,all_types,"2,409","11,399,686","74,591","35,520,840"
case,Apr-21,202116,50-64,all_types,"2,193","12,504,087","36,385","19,305,240"
case,Apr-21,202116,65-79,all_types,"2,000","18,200,254","12,021","6,550,565"
case,Apr-21,202116,80+,all_types,902,"5,762,774","3,003","2,276,091"
case,Apr-21,202116,all_ages_adj,all_types,"8,403","52,066,869","206,848","108,312,320"
case,Apr-21,202116,all_ages_adj,Janssen,"2,029","4,648,735","206,848","108,312,320"
case,Apr-21,202116,all_ages_adj,Moderna,"2,202","21,812,396","206,848","108,312,320"
case,Apr-21,202116,all_ages_adj,Pfizer,"4,146","25,542,156","206,848","108,312,320"
case,Apr-21,202117,12-17,all_types,24,"137,801","24,494","16,766,839"
case,Apr-21,202117,18-29,all_types,943,"5,186,308","49,243","26,418,809"
case,Apr-21,202117,30-49,all_types,"2,678","13,832,403","64,986","33,594,172"
case,Apr-21,202117,50-64,all_types,"2,313","15,593,884","30,221","18,045,364"
case,Apr-21,202117,65-79,all_types,"1,977","19,345,500","10,223","6,161,434"
case,Apr-21,202117,80+,all_types,971,"6,003,038","2,530","2,189,295"
case,Apr-21,202117,all_ages_adj,all_types,"8,906","60,098,934","181,697","103,175,913"
case,Apr-21,202117,all_ages_adj,Janssen,"2,259","5,851,364","181,697","103,175,913"
case,Apr-21,202117,all_ages_adj,Moderna,"2,319","24,805,725","181,697","103,175,913"
case,Apr-21,202117,all_ages_adj,Pfizer,"4,307","29,374,958","181,697","103,175,913"
case,May-21,202118,12-17,all_types,9,"234,168","19,421","16,599,493"
case,May-21,202118,18-29,all_types,852,"6,237,536","38,984","25,539,902"
case,May-21,202118,30-49,all_types,"2,257","16,217,223","53,203","32,190,144"
case,May-21,202118,50-64,all_types,"2,050","18,488,009","25,143","17,103,049"
case,May-21,202118,65-79,all_types,"1,713","20,151,981","8,733","5,849,170"
case,May-21,202118,80+,all_types,893,"6,167,725","2,165","2,118,674"
case,May-21,202118,all_ages_adj,all_types,"7,774","67,496,642","147,649","99,400,432"
case,May-21,202118,all_ages_adj,Janssen,"1,694","5,861,831","147,649","99,400,432"
case,May-21,202118,all_ages_adj,Moderna,"2,006","27,995,179","147,649","99,400,432"
case,May-21,202118,all_ages_adj,Pfizer,"4,056","33,569,462","147,649","99,400,432"
case,May-21,202119,12-17,all_types,21,"394,429","15,132","16,217,020"
case,May-21,202119,18-29,all_types,773,"7,555,423","31,681","24,816,048"
case,May-21,202119,30-49,all_types,"1,933","18,860,923","43,592","31,106,969"
case,May-21,202119,50-64,all_types,"1,819","20,972,535","20,958","16,397,620"
case,May-21,202119,65-79,all_types,"1,626","20,772,113","7,616","5,604,344"
case,May-21,202119,80+,all_types,761,"6,294,735","2,069","2,061,706"
case,May-21,202119,all_ages_adj,all_types,"6,933","74,850,158","121,048","96,203,707"
case,May-21,202119,all_ages_adj,Janssen,"1,327","6,013,754","121,048","96,203,707"
case,May-21,202119,all_ages_adj,Moderna,"1,899","30,882,168","121,048","96,203,707"
case,May-21,202119,all_ages_adj,Pfizer,"3,692","37,881,496","121,048","96,203,707"
case,May-21,202120,12-17,all_types,25,"653,326","11,017","14,921,199"
case,May-21,202120,18-29,all_types,707,"9,206,840","23,715","24,024,419"
case,May-21,202120,30-49,all_types,"1,916","21,646,177","32,974","29,932,427"
case,May-21,202120,50-64,all_types,"1,691","22,957,024","15,842","15,698,657"
case,May-21,202120,65-79,all_types,"1,458","21,288,842","5,886","5,372,788"
case,May-21,202120,80+,all_types,693,"6,401,691","1,523","2,010,446"
case,May-21,202120,all_ages_adj,all_types,"6,490","82,153,900","90,957","91,959,936"
case,May-21,202120,all_ages_adj,Janssen,"1,211","6,388,499","90,957","91,959,936"
case,May-21,202120,all_ages_adj,Moderna,"1,807","33,315,543","90,957","91,959,936"
case,May-21,202120,all_ages_adj,Pfizer,"3,460","42,373,658","90,957","91,959,936"
case,May-21,202121,12-17,all_types,30,"926,757","7,158","14,162,123"
case,May-21,202121,18-29,all_types,635,"10,733,721","17,423","23,355,019"
case,May-21,202121,30-49,all_types,"1,616","24,023,089","24,908","28,978,328"
case,May-21,202121,50-64,all_types,"1,454","24,433,978","11,936","15,149,639"
case,May-21,202121,65-79,all_types,"1,178","21,701,845","4,591","5,189,873"
case,May-21,202121,80+,all_types,598,"6,490,686","1,179","1,969,710"
case,May-21,202121,all_ages_adj,all_types,"5,511","88,310,076","67,195","88,804,692"
case,May-21,202121,all_ages_adj,Janssen,"1,009","6,758,626","67,195","88,804,692"
case,May-21,202121,all_ages_adj,Moderna,"1,504","35,599,844","67,195","88,804,692"
case,May-21,202121,all_ages_adj,Pfizer,"2,991","45,873,791","67,195","88,804,692"
case,Jun-21,202122,12-17,all_types,40,"1,168,322","5,364","13,701,827"
case,Jun-21,202122,18-29,all_types,603,"11,985,984","13,738","22,891,599"
case,Jun-21,202122,30-49,all_types,"1,557","25,989,524","19,899","28,302,382"
case,Jun-21,202122,50-64,all_types,"1,324","25,627,138","9,393","14,764,495"
case,Jun-21,202122,65-79,all_types,"1,122","22,053,067","3,672","5,063,521"
case,Jun-21,202122,80+,all_types,509,"6,568,837",936,"1,942,082"
case,Jun-21,202122,all_ages_adj,all_types,"5,155","93,392,872","53,002","86,665,906"
case,Jun-21,202122,all_ages_adj,Janssen,900,"7,142,988","53,002","86,665,906"
case,Jun-21,202122,all_ages_adj,Moderna,"1,480","37,671,076","53,002","86,665,906"
case,Jun-21,202122,all_ages_adj,Pfizer,"2,768","48,499,400","53,002","86,665,906"
case,Jun-21,202123,12-17,all_types,43,"1,327,897","4,514","13,295,311"
case,Jun-21,202123,18-29,all_types,700,"12,886,541","12,674","22,472,743"
case,Jun-21,202123,30-49,all_types,"1,594","27,401,880","17,974","27,688,522"
case,Jun-21,202123,50-64,all_types,"1,477","26,509,352","8,496","14,423,652"
case,Jun-21,202123,65-79,all_types,"1,121","22,327,869","3,280","4,948,635.40"
case,Jun-21,202123,80+,all_types,508,"6,631,384",819,"1,915,568"
case,Jun-21,202123,all_ages_adj,all_types,"5,443","97,084,923","47,757","84,744,431.40"
case,Jun-21,202123,all_ages_adj,Janssen,923,"7,498,236","47,757","84,744,431.40"
case,Jun-21,202123,all_ages_adj,Moderna,"1,534","39,318,396","47,757","84,744,431.40"
case,Jun-21,202123,all_ages_adj,Pfizer,"2,976","50,187,636","47,757","84,744,431.40"
case,Jun-21,202124,12-17,all_types,53,"1,725,552","4,318","12,982,616"
case,Jun-21,202124,18-29,all_types,764,"13,494,646","12,301","22,105,620"
case,Jun-21,202124,30-49,all_types,"1,817","28,334,355","16,985","27,160,136"
case,Jun-21,202124,50-64,all_types,"1,517","27,091,783","8,058","14,135,228"
case,Jun-21,202124,65-79,all_types,"1,203","22,521,341","2,943","4,853,191.40"
case,Jun-21,202124,80+,all_types,531,"6,675,303",756,"1,893,070"
case,Jun-21,202124,all_ages_adj,all_types,"5,885","99,842,980","45,361","83,129,861.40"
case,Jun-21,202124,all_ages_adj,Janssen,953,"7,757,638","45,361","83,129,861.40"
case,Jun-21,202124,all_ages_adj,Moderna,"1,613","40,383,150","45,361","83,129,861.40"
case,Jun-21,202124,all_ages_adj,Pfizer,"3,315","51,620,230","45,361","83,129,861.40"
case,Jun-21,202125,12-17,all_types,101,"2,947,811","4,913","12,639,899"
case,Jun-21,202125,18-29,all_types,"1,065","14,099,316","13,782","21,772,868"
case,Jun-21,202125,30-49,all_types,"2,555","29,220,840","18,783","26,686,130"
case,Jun-21,202125,50-64,all_types,"1,920","27,614,728","8,488","13,869,977"
case,Jun-21,202125,65-79,all_types,"1,534","22,696,249","3,203","4,764,401.40"
case,Jun-21,202125,80+,all_types,566,"6,715,260",790,"1,872,422"
case,Jun-21,202125,all_ages_adj,all_types,"7,741","103,294,204","49,959","81,605,697.40"
case,Jun-21,202125,all_ages_adj,Janssen,"1,146","8,016,228","49,959","81,605,697.40"
case,Jun-21,202125,all_ages_adj,Moderna,"2,106","41,210,345","49,959","81,605,697.40"
case,Jun-21,202125,all_ages_adj,Pfizer,"4,476","53,984,675","49,959","81,605,697.40"
case,Jun-21,202126,12-17,all_types,157,"3,762,205","6,880","12,337,312"
case,Jun-21,202126,18-29,all_types,"1,838","14,680,605","18,147","21,458,568"
case,Jun-21,202126,30-49,all_types,"4,208","30,054,417","24,808","26,242,255"
case,Jun-21,202126,50-64,all_types,"2,842","28,088,516","10,324","13,626,945"
case,Jun-21,202126,65-79,all_types,"1,972","22,852,175","3,858","4,684,036.40"
case,Jun-21,202126,80+,all_types,759,"6,749,888",932,"1,854,349"
case,Jun-21,202126,all_ages_adj,all_types,"11,776","106,187,806","64,949","80,203,465.40"
case,Jun-21,202126,all_ages_adj,Janssen,"1,822","8,256,559","64,949","80,203,465.40"
case,Jun-21,202126,all_ages_adj,Moderna,"3,087","41,968,408","64,949","80,203,465.40"
case,Jun-21,202126,all_ages_adj,Pfizer,"6,852","55,879,028","64,949","80,203,465.40"
case,Jul-21,202127,12-17,all_types,246,"4,204,405","9,582","12,112,390"
case,Jul-21,202127,18-29,all_types,"3,447","15,097,896","29,076","21,196,586"
case,Jul-21,202127,30-49,all_types,"7,091","30,649,463","37,324","25,875,242"
case,Jul-21,202127,50-64,all_types,"4,713","28,431,040","15,264","13,424,696"
